index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_type,drama_language_list,drama_time
418,天坑鹰猎,"成志超,戴小哲,田少波","王俊凯,文淇,蒋依依,叶筱玮,郑好",7.6,https://movie.douban.com/subject/27119802/, 中国大陆,"剧情,悬疑,冒险", 汉语普通话,2018
419,鬼入侵 第一季,迈克·弗拉纳根,"麦肯娜·格瑞丝,卡拉·古奇诺,米契尔·哈思曼,蒂莫西·赫顿,维奥莱特·麦格劳",8.7,https://movie.douban.com/subject/27016554/, 美国,"悬疑,惊悚,恐怖", 英语,2018
420,加油吧威基基,李昌民,"金正贤,李伊庚,孙承源,郑仁仙,高媛熙",8.6,https://movie.douban.com/subject/27603684/, 韩国,"剧情,喜剧", 韩语,2018
421,内在美,宋贤旭,"徐玄振,李民基,李多喜,安宰贤,文知茵",7.8,https://movie.douban.com/subject/30269039/, 韩国,"剧情,爱情", 韩语,2018
422,镇魂,"周远舟,谢毅航","白宇,朱一龙,辛鹏,高雨儿,李砚",6.4,https://movie.douban.com/subject/26979097/,,,,[]
423,我的ID是江南美人,崔成范,"林秀香,车银优,赵宇丽,郭东延,朴成根",7.5,https://movie.douban.com/subject/30232208/, 韩国,"剧情,爱情", 韩语,2018
424,忽而今夏,吕赢,"白宇,卜冠今,吕鹏,张书维,杨玥",8.2,https://movie.douban.com/subject/27041389/, 中国大陆,剧情, 汉语普通话,2018
425,和平饭店,"李骏,白涛","陈数,雷佳音,李光洁,陶慧,张一龙",7.9,https://movie.douban.com/subject/26828285/, 中国大陆,"剧情,悬疑", 汉语普通话,2018
426,行骗天下JP,"田中亮,金井纮","长泽雅美,东出昌大,小日向文世,江口洋介,吉濑美智子",8.4,https://movie.douban.com/subject/27605548/, 日本,"剧情,喜剧", 日语,2018
427,我们无法成为野兽,水田伸生,"新垣结衣,松田龙平,田中圭,黑木华,菊地凛子",7.7,https://movie.douban.com/subject/30290917/, 日本,爱情, 日语,2018
428,情色小说家,三木康一郎,"竹财辉之助,猪塚健太,七海奈奈,富永勇也,黑崎澪音",8.2,https://movie.douban.com/subject/30271241/, 日本,"剧情,同性", 日语,2018
429,实习医生格蕾 第十五季,凯文·麦克基德,"艾伦·旁派,贾斯汀·钱伯斯,钱德拉·威尔森,小詹姆斯·皮肯斯,凯文·麦克基德",9.1,https://movie.douban.com/subject/28086682/, 美国,"剧情,爱情", 英语,2018
430,人生删除事务所,"泷本智行,常广丈太","山田孝之,菅田将晖,麻生久美子,桥本爱,野田洋次郎",8.5,https://movie.douban.com/subject/30232260/, 日本,"剧情,犯罪", 日语,2018
431,经常请吃饭的漂亮姐姐,安畔锡,"孙艺珍,丁海寅,李珠英,吴龙,魏河俊",7.7,https://movie.douban.com/subject/27663984/, 韩国,"剧情,爱情", 韩语,2018
432,结爱·千岁大人的初恋,"陈正道,许肇任","宋茜,黄景瑜,徐开骋,李燊,江奇霖",7.1,https://movie.douban.com/subject/27107131/, 中国大陆,"爱情,奇幻", 汉语普通话,2018
433,火星生活,李政孝,"郑京浩,朴圣雄,高雅星,吴代焕,卢宗贤",9,https://movie.douban.com/subject/27622822/, 韩国,"科幻,悬疑,犯罪", 韩语,2018
434,无耻之徒(美版) 第九季,"马克·米罗,伊恩·B·麦克唐纳,约翰·威尔斯","威廉姆·H·梅西,埃米·罗森,伊森·卡特科斯基,珊诺拉·汉普顿,杰瑞米·艾伦·怀特",9.7,https://movie.douban.com/subject/27194302/, 美国,"剧情,喜剧", 英语,2018
435,傲骨之战 第二季,"吉姆·麦凯,小詹姆斯·惠特摩","克里斯汀·芭伦斯基,库什·珍宝,露丝·莱斯利,萨拉·斯蒂尔,贾斯汀·巴萨",9.5,https://movie.douban.com/subject/26997533/, 美国,剧情, 英语,2018
436,少年犯 第一季,彼得·福特,"亚历克斯·墨菲,克里斯·瓦利,詹妮弗·巴里,希拉里·罗斯,多米尼克·麦克海尔",9.1,https://movie.douban.com/subject/30145148/, 英国 / 爱尔兰,喜剧, 英语,2018
437,天坑鹰猎,"成志超,戴小哲,田少波","王俊凯,文淇,蒋依依,叶筱玮,郑好",7.6,https://movie.douban.com/subject/27119802/, 中国大陆,"剧情,悬疑,冒险", 汉语普通话,2018
438,鬼入侵 第一季,迈克·弗拉纳根,"麦肯娜·格瑞丝,卡拉·古奇诺,米契尔·哈思曼,蒂莫西·赫顿,维奥莱特·麦格劳",8.7,https://movie.douban.com/subject/27016554/, 美国,"悬疑,惊悚,恐怖", 英语,2018
439,加油吧威基基,李昌民,"金正贤,李伊庚,孙承源,郑仁仙,高媛熙",8.6,https://movie.douban.com/subject/27603684/, 韩国,"剧情,喜剧", 韩语,2018
440,人不彪悍枉少年,邓科,"侯明昊,万鹏,张耀,代露娃,李明德",7.6,https://movie.douban.com/subject/27615866/, 中国大陆,"剧情,爱情", 汉语普通话,2018
441,镇魂,"周远舟,谢毅航","白宇,朱一龙,辛鹏,高雨儿,李砚",6.4,https://movie.douban.com/subject/26979097/,,,,[]
442,我的ID是江南美人,崔成范,"林秀香,车银优,赵宇丽,郭东延,朴成根",7.5,https://movie.douban.com/subject/30232208/, 韩国,"剧情,爱情", 韩语,2018
443,忽而今夏,吕赢,"白宇,卜冠今,吕鹏,张书维,杨玥",8.2,https://movie.douban.com/subject/27041389/, 中国大陆,剧情, 汉语普通话,2018
444,和平饭店,"李骏,白涛","陈数,雷佳音,李光洁,陶慧,张一龙",7.9,https://movie.douban.com/subject/26828285/, 中国大陆,"剧情,悬疑", 汉语普通话,2018
445,行骗天下JP,"田中亮,金井纮","长泽雅美,东出昌大,小日向文世,江口洋介,吉濑美智子",8.4,https://movie.douban.com/subject/27605548/, 日本,"剧情,喜剧", 日语,2018
446,我们无法成为野兽,水田伸生,"新垣结衣,松田龙平,田中圭,黑木华,菊地凛子",7.7,https://movie.douban.com/subject/30290917/, 日本,爱情, 日语,2018
447,情色小说家,三木康一郎,"竹财辉之助,猪塚健太,七海奈奈,富永勇也,黑崎澪音",8.2,https://movie.douban.com/subject/30271241/, 日本,"剧情,同性", 日语,2018
448,实习医生格蕾 第十五季,凯文·麦克基德,"艾伦·旁派,贾斯汀·钱伯斯,钱德拉·威尔森,小詹姆斯·皮肯斯,凯文·麦克基德",9.1,https://movie.douban.com/subject/28086682/, 美国,"剧情,爱情", 英语,2018
449,人生删除事务所,"泷本智行,常广丈太","山田孝之,菅田将晖,麻生久美子,桥本爱,野田洋次郎",8.5,https://movie.douban.com/subject/30232260/, 日本,"剧情,犯罪", 日语,2018
450,经常请吃饭的漂亮姐姐,安畔锡,"孙艺珍,丁海寅,李珠英,吴龙,魏河俊",7.7,https://movie.douban.com/subject/27663984/, 韩国,"剧情,爱情", 韩语,2018
451,结爱·千岁大人的初恋,"陈正道,许肇任","宋茜,黄景瑜,徐开骋,李燊,江奇霖",7.1,https://movie.douban.com/subject/27107131/, 中国大陆,"爱情,奇幻", 汉语普通话,2018
452,火星生活,李政孝,"郑京浩,朴圣雄,高雅星,吴代焕,卢宗贤",9,https://movie.douban.com/subject/27622822/, 韩国,"科幻,悬疑,犯罪", 韩语,2018
453,无耻之徒(美版) 第九季,"马克·米罗,伊恩·B·麦克唐纳,约翰·威尔斯","威廉姆·H·梅西,埃米·罗森,伊森·卡特科斯基,珊诺拉·汉普顿,杰瑞米·艾伦·怀特",9.7,https://movie.douban.com/subject/27194302/, 美国,"剧情,喜剧", 英语,2018
454,傲骨之战 第二季,"吉姆·麦凯,小詹姆斯·惠特摩","克里斯汀·芭伦斯基,库什·珍宝,露丝·莱斯利,萨拉·斯蒂尔,贾斯汀·巴萨",9.5,https://movie.douban.com/subject/26997533/, 美国,剧情, 英语,2018
455,少年犯 第一季,彼得·福特,"亚历克斯·墨菲,克里斯·瓦利,詹妮弗·巴里,希拉里·罗斯,多米尼克·麦克海尔",9.1,https://movie.douban.com/subject/30145148/, 英国 / 爱尔兰,喜剧, 英语,2018
456,天坑鹰猎,"成志超,戴小哲,田少波","王俊凯,文淇,蒋依依,叶筱玮,郑好",7.6,https://movie.douban.com/subject/27119802/, 中国大陆,"剧情,悬疑,冒险", 汉语普通话,2018
457,鬼入侵 第一季,迈克·弗拉纳根,"麦肯娜·格瑞丝,卡拉·古奇诺,米契尔·哈思曼,蒂莫西·赫顿,维奥莱特·麦格劳",8.7,https://movie.douban.com/subject/27016554/, 美国,"悬疑,惊悚,恐怖", 英语,2018
458,加油吧威基基,李昌民,"金正贤,李伊庚,孙承源,郑仁仙,高媛熙",8.6,https://movie.douban.com/subject/27603684/, 韩国,"剧情,喜剧", 韩语,2018
459,人不彪悍枉少年,邓科,"侯明昊,万鹏,张耀,代露娃,李明德",7.6,https://movie.douban.com/subject/27615866/, 中国大陆,"剧情,爱情", 汉语普通话,2018
460,名姝 第二季,科奇·吉尔佐,"萨曼莎·莫顿,杰西卡·布朗·芬德利,丽芙·泰勒,莱丝利·曼维尔,布朗温·詹姆斯",8.2,https://movie.douban.com/subject/27099302/, 英国 / 美国,剧情, 英语,2018
461,我的ID是江南美人,崔成范,"林秀香,车银优,赵宇丽,郭东延,朴成根",7.5,https://movie.douban.com/subject/30232208/, 韩国,"剧情,爱情", 韩语,2018
462,忽而今夏,吕赢,"白宇,卜冠今,吕鹏,张书维,杨玥",8.2,https://movie.douban.com/subject/27041389/, 中国大陆,剧情, 汉语普通话,2018
463,和平饭店,"李骏,白涛","陈数,雷佳音,李光洁,陶慧,张一龙",7.9,https://movie.douban.com/subject/26828285/, 中国大陆,"剧情,悬疑", 汉语普通话,2018
464,行骗天下JP,"田中亮,金井纮","长泽雅美,东出昌大,小日向文世,江口洋介,吉濑美智子",8.4,https://movie.douban.com/subject/27605548/, 日本,"剧情,喜剧", 日语,2018
465,我们无法成为野兽,水田伸生,"新垣结衣,松田龙平,田中圭,黑木华,菊地凛子",7.7,https://movie.douban.com/subject/30290917/, 日本,爱情, 日语,2018
466,情色小说家,三木康一郎,"竹财辉之助,猪塚健太,七海奈奈,富永勇也,黑崎澪音",8.2,https://movie.douban.com/subject/30271241/, 日本,"剧情,同性", 日语,2018
467,实习医生格蕾 第十五季,凯文·麦克基德,"艾伦·旁派,贾斯汀·钱伯斯,钱德拉·威尔森,小詹姆斯·皮肯斯,凯文·麦克基德",9.1,https://movie.douban.com/subject/28086682/, 美国,"剧情,爱情", 英语,2018
468,人生删除事务所,"泷本智行,常广丈太","山田孝之,菅田将晖,麻生久美子,桥本爱,野田洋次郎",8.5,https://movie.douban.com/subject/30232260/, 日本,"剧情,犯罪", 日语,2018
469,经常请吃饭的漂亮姐姐,安畔锡,"孙艺珍,丁海寅,李珠英,吴龙,魏河俊",7.7,https://movie.douban.com/subject/27663984/, 韩国,"剧情,爱情", 韩语,2018
470,结爱·千岁大人的初恋,"陈正道,许肇任","宋茜,黄景瑜,徐开骋,李燊,江奇霖",7.1,https://movie.douban.com/subject/27107131/, 中国大陆,"爱情,奇幻", 汉语普通话,2018
471,火星生活,李政孝,"郑京浩,朴圣雄,高雅星,吴代焕,卢宗贤",9,https://movie.douban.com/subject/27622822/, 韩国,"科幻,悬疑,犯罪", 韩语,2018
472,无耻之徒(美版) 第九季,"马克·米罗,伊恩·B·麦克唐纳,约翰·威尔斯","威廉姆·H·梅西,埃米·罗森,伊森·卡特科斯基,珊诺拉·汉普顿,杰瑞米·艾伦·怀特",9.7,https://movie.douban.com/subject/27194302/, 美国,"剧情,喜剧", 英语,2018
473,傲骨之战 第二季,"吉姆·麦凯,小詹姆斯·惠特摩","克里斯汀·芭伦斯基,库什·珍宝,露丝·莱斯利,萨拉·斯蒂尔,贾斯汀·巴萨",9.5,https://movie.douban.com/subject/26997533/, 美国,剧情, 英语,2018
474,少年犯 第一季,彼得·福特,"亚历克斯·墨菲,克里斯·瓦利,詹妮弗·巴里,希拉里·罗斯,多米尼克·麦克海尔",9.1,https://movie.douban.com/subject/30145148/, 英国 / 爱尔兰,喜剧, 英语,2018
475,天坑鹰猎,"成志超,戴小哲,田少波","王俊凯,文淇,蒋依依,叶筱玮,郑好",7.6,https://movie.douban.com/subject/27119802/, 中国大陆,"剧情,悬疑,冒险", 汉语普通话,2018
476,鬼入侵 第一季,迈克·弗拉纳根,"麦肯娜·格瑞丝,卡拉·古奇诺,米契尔·哈思曼,蒂莫西·赫顿,维奥莱特·麦格劳",8.7,https://movie.douban.com/subject/27016554/, 美国,"悬疑,惊悚,恐怖", 英语,2018
477,加油吧威基基,李昌民,"金正贤,李伊庚,孙承源,郑仁仙,高媛熙",8.6,https://movie.douban.com/subject/27603684/, 韩国,"剧情,喜剧", 韩语,2018
478,人不彪悍枉少年,邓科,"侯明昊,万鹏,张耀,代露娃,李明德",7.6,https://movie.douban.com/subject/27615866/, 中国大陆,"剧情,爱情", 汉语普通话,2018
479,名姝 第二季,科奇·吉尔佐,"萨曼莎·莫顿,杰西卡·布朗·芬德利,丽芙·泰勒,莱丝利·曼维尔,布朗温·詹姆斯",8.2,https://movie.douban.com/subject/27099302/, 英国 / 美国,剧情, 英语,2018
480,9号秘事 第四季,"大卫·科尔,吉姆·奥汉龙,格雷姆·哈珀","杰甘·艾伊,里斯·谢尔史密斯,罗里·金奈尔,比尔·帕特森,玛西娅·沃伦",9.4,https://movie.douban.com/subject/26961208/, 英国,"喜剧,悬疑,惊悚", 英语,2018
481,忽而今夏,吕赢,"白宇,卜冠今,吕鹏,张书维,杨玥",8.2,https://movie.douban.com/subject/27041389/, 中国大陆,剧情, 汉语普通话,2018
482,和平饭店,"李骏,白涛","陈数,雷佳音,李光洁,陶慧,张一龙",7.9,https://movie.douban.com/subject/26828285/, 中国大陆,"剧情,悬疑", 汉语普通话,2018
483,行骗天下JP,"田中亮,金井纮","长泽雅美,东出昌大,小日向文世,江口洋介,吉濑美智子",8.4,https://movie.douban.com/subject/27605548/, 日本,"剧情,喜剧", 日语,2018
484,我们无法成为野兽,水田伸生,"新垣结衣,松田龙平,田中圭,黑木华,菊地凛子",7.7,https://movie.douban.com/subject/30290917/, 日本,爱情, 日语,2018
485,情色小说家,三木康一郎,"竹财辉之助,猪塚健太,七海奈奈,富永勇也,黑崎澪音",8.2,https://movie.douban.com/subject/30271241/, 日本,"剧情,同性", 日语,2018
486,实习医生格蕾 第十五季,凯文·麦克基德,"艾伦·旁派,贾斯汀·钱伯斯,钱德拉·威尔森,小詹姆斯·皮肯斯,凯文·麦克基德",9.1,https://movie.douban.com/subject/28086682/, 美国,"剧情,爱情", 英语,2018
487,人生删除事务所,"泷本智行,常广丈太","山田孝之,菅田将晖,麻生久美子,桥本爱,野田洋次郎",8.5,https://movie.douban.com/subject/30232260/, 日本,"剧情,犯罪", 日语,2018
488,经常请吃饭的漂亮姐姐,安畔锡,"孙艺珍,丁海寅,李珠英,吴龙,魏河俊",7.7,https://movie.douban.com/subject/27663984/, 韩国,"剧情,爱情", 韩语,2018
489,结爱·千岁大人的初恋,"陈正道,许肇任","宋茜,黄景瑜,徐开骋,李燊,江奇霖",7.1,https://movie.douban.com/subject/27107131/, 中国大陆,"爱情,奇幻", 汉语普通话,2018
490,火星生活,李政孝,"郑京浩,朴圣雄,高雅星,吴代焕,卢宗贤",9,https://movie.douban.com/subject/27622822/, 韩国,"科幻,悬疑,犯罪", 韩语,2018
