index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_type,drama_language_list,drama_time
491,无耻之徒(美版) 第九季,"马克·米罗,伊恩·B·麦克唐纳,约翰·威尔斯","威廉姆·H·梅西,埃米·罗森,伊森·卡特科斯基,珊诺拉·汉普顿,杰瑞米·艾伦·怀特",9.7,https://movie.douban.com/subject/27194302/, 美国,"剧情,喜剧", 英语,2018
492,傲骨之战 第二季,"吉姆·麦凯,小詹姆斯·惠特摩","克里斯汀·芭伦斯基,库什·珍宝,露丝·莱斯利,萨拉·斯蒂尔,贾斯汀·巴萨",9.5,https://movie.douban.com/subject/26997533/, 美国,剧情, 英语,2018
493,少年犯 第一季,彼得·福特,"亚历克斯·墨菲,克里斯·瓦利,詹妮弗·巴里,希拉里·罗斯,多米尼克·麦克海尔",9.1,https://movie.douban.com/subject/30145148/, 英国 / 爱尔兰,喜剧, 英语,2018
494,天坑鹰猎,"成志超,戴小哲,田少波","王俊凯,文淇,蒋依依,叶筱玮,郑好",7.6,https://movie.douban.com/subject/27119802/, 中国大陆,"剧情,悬疑,冒险", 汉语普通话,2018
495,鬼入侵 第一季,迈克·弗拉纳根,"麦肯娜·格瑞丝,卡拉·古奇诺,米契尔·哈思曼,蒂莫西·赫顿,维奥莱特·麦格劳",8.7,https://movie.douban.com/subject/27016554/, 美国,"悬疑,惊悚,恐怖", 英语,2018
496,加油吧威基基,李昌民,"金正贤,李伊庚,孙承源,郑仁仙,高媛熙",8.6,https://movie.douban.com/subject/27603684/, 韩国,"剧情,喜剧", 韩语,2018
497,人不彪悍枉少年,邓科,"侯明昊,万鹏,张耀,代露娃,李明德",7.6,https://movie.douban.com/subject/27615866/, 中国大陆,"剧情,爱情", 汉语普通话,2018
498,名姝 第二季,科奇·吉尔佐,"萨曼莎·莫顿,杰西卡·布朗·芬德利,丽芙·泰勒,莱丝利·曼维尔,布朗温·詹姆斯",8.2,https://movie.douban.com/subject/27099302/, 英国 / 美国,剧情, 英语,2018
499,9号秘事 第四季,"大卫·科尔,吉姆·奥汉龙,格雷姆·哈珀","杰甘·艾伊,里斯·谢尔史密斯,罗里·金奈尔,比尔·帕特森,玛西娅·沃伦",9.4,https://movie.douban.com/subject/26961208/, 英国,"喜剧,悬疑,惊悚", 英语,2018
500,阿尔罕布拉宫的回忆,安吉镐,"玄彬,朴信惠,朴勋,朴灿烈,韩宝凛",7.7,https://movie.douban.com/subject/27603700/, 韩国,"爱情,奇幻", 韩语,2018
