index,电影名字,电影导演,电影编辑,电影主演,电影类型,电影制片国家,电影语言,电影上映时间,电影片长,电影豆瓣评分,电影评价人数
84,长城 The Great Wall,['张艺谋'],"['马克斯·布鲁克斯', '爱德华·兹威克', '马歇尔·赫斯科维兹', '托尼·吉尔罗伊', '托马斯·图尔']","['马特·达蒙', '景甜', '佩德罗·帕斯卡', '刘德华', '威廉·达福', '张涵予', '鹿晗', '彭于晏', '林更新', '郑恺', '黄轩', '陈学冬', '王俊凯', '余心恬', '刘恩佳', '李亨', '李京沐', '纽曼·阿卡', '约翰尼·希科', '皮鲁·埃斯贝克']",动作, 中国大陆, 汉语普通话,语言:,2016-12-16(中国大陆),4.9,280958
85,小时代4：灵魂尽头,['郭敬明'],['郭敬明'],"['杨幂', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '姜潮', '王琳', '商侃']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4.6,117670
86,小时代2：青木时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '凤小岳', '郭碧婷', '谢依霖', '陈学冬', '王琳', '李悦铭', '商侃', '姜潮', '杜天皓', '杨菲洋', '丁巧唯']",剧情, 中国大陆, 汉语普通话,语言:,2013-08-08(中国大陆),4.9,172661
87,小时代3：刺金时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '王琳', '姜潮', '商侃', '杜天皓']",剧情, 中国大陆, 汉语普通话,语言:,2014-07-17(中国大陆),4.4,163988
88,悟空传,['郭子健'],"['郭子健', '今何在', '黄海', '范文文', '黄智亨']","['彭于晏', '倪妮', '余文乐', '俞飞鸿', '欧豪', '郑爽', '乔杉', '杨迪', '巴音', '王德顺', '李尚恩', '张承阳']",剧情, 中国大陆, 汉语普通话,语言:,2017-07-13(中国大陆),5,174091
89,恶棍天使,"['俞白眉', '邓超']",['俞白眉'],"['邓超', '孙俪', '代乐乐', '梁超', '杨新鸣', '王砚辉', '许可嘉', '赵曼竹', '栾元晖', '张鹭', '王双宝']",喜剧, 中国大陆, 汉语普通话,2015-12-24(中国大陆),124分钟,4.1,113139
90,澳门风云3 賭城風雲III,"['王晶', '刘伟强']",['王晶'],"['周润发', '刘德华', '张家辉', '张学友', '余文乐', '李宇春', '刘嘉玲', '王诗龄', '向佐', '胡然', '元秋', '朴载相', '童菲', '罗家英', '卢海鹏']",喜剧, 中国大陆, 汉语普通话,上映日期:,2016-02-06(香港),4.1,92378
91,栀子花开,['何炅'],"['傲立', '南罗', '龚佳', '杨啸']","['李易峰', '张慧雯', '蒋劲夫', '魏大勋', '杜天皓', '张予曦', '李心艾', '宋轶', '张云龙', '柴格', '王佑硕', '李玟', '陈羽凡', '胡海泉', '尼查坤·抔勒威查固', '李晟', '李佳航', '刘昊然', '扈忠汉', '李偲菘', '李伟菘', '陈思成', '安淇尔', '秦沛', '陈伟强', '杨杰', '谢娜', '何炅']",爱情, 中国大陆, 汉语普通话,2015-07-10(中国大陆),107分钟,4.1,104404
92,致青春·原来你还在这里,['周拓如'],"['周拓如', '辛夷坞']","['吴亦凡', '刘亦菲', '金世佳', '李沁', '李梦', '郝劭文', '陈燃', '乔任梁']",剧情, 中国大陆, 汉语普通话,上映日期:,片长:,4.1,101483
93,功夫瑜伽,['唐季礼'],['唐季礼'],"['成龙', '李治廷', '张艺兴', '索努·苏德', '母其弥雅', '迪莎·帕塔尼', '艾米拉·达斯特', '尚语贤', '姜雯', '张国立']",喜剧, 中国大陆, 汉语普通话,语言:,2017-01-28(中国大陆),5,131996
94,神探蒲松龄,['严嘉'],"['刘伯翰', '简文']","['成龙', '阮经天', '钟楚曦', '林柏宏', '林鹏', '乔杉', '潘长江', '苑琼丹', '刘智福', '刘智满', '刘智堂', '姜嫄']",喜剧, 中国大陆, 汉语普通话,语言:,2019-02-05(中国大陆),3.9,46664
95,胖子行动队,['包贝尔'],"['张鹏', '刘智林']","['文章', '包贝尔', '郭京飞', '李成敏', '辣目洋子', '许君聪', '曾一竣', '张梦露', '戚玉武', '仓田保昭', '木幡龙', '宋佳', '文隽']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4.2,54625
96,天气预爆,['肖央'],"['肖央', '黄苑', '张少初', '刘犇']","['肖央', '杜鹃', '常远', '小沈阳', '岳云鹏', '王小利', '衣云鹤', '蔡明']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,3.8,51846
97,摆渡人,['张嘉佳'],"['张嘉佳', '王家卫']","['梁朝伟', '金城武', '陈奕迅', '杨颖', '张榕容', '杜鹃', '熊黛林', '大鹏', '马苏', '崔志佳', '贾玲', '李宇春', '鹿晗', '欧弟', '纳豆', '金士杰', '柯佳嬿', '李灿森', '喜翔', '曹可凡', '吴艺璇']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4,181689
98,有一个地方只有我们知道,['徐静蕾'],"['王朔', '徐静蕾', '十庆', '王芸', '赵梦', '梁青儿', '司徒芃丽']","['吴亦凡', '王丽坤', '徐静蕾', '戈登·亚历山大', '丛珊', '张超', '热依扎', '蔡书雅', '黄立行', '王丽媛', '汪俊']",爱情, 中国大陆, 汉语普通话,2015-02-10(中国大陆),109分钟,4.9,136390
99,解忧杂货店,['韩杰'],"['宋啸', '东野圭吾', '孙思雨', '朱思溢']","['王俊凯', '迪丽热巴', '董子健', '李鸿其', '董李无忧', '成龙', '秦昊', '陈都灵', '郝蕾', '李梦', '成泰燊', '高华阳', '潘斌龙', '孟慧圆', '孙小野']",剧情, 中国大陆, 汉语普通话,上映日期:,片长:,5,98287
