index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
53,非正式会谈 第3.5季,"万龙华,马骁,陶瑶,赵琛,宋晓莉,古雪颖","大左,杨迪,陈铭,贝乐泰,功必扬",8.5,https://movie.douban.com/subject/27602135/, 中国大陆, 汉语普通话,2017
54,我家那小子 第一季,陈歆宇,"陈学冬,钱枫,武艺,朱雨辰,徐海乔",6.7,https://movie.douban.com/subject/30259902/, 中国大陆, 汉语普通话,2018
55,拜托了冰箱 第四季,胡悦,"何炅,王嘉尔,黄磊,张杰,马天宇",6.9,https://movie.douban.com/subject/30204135/, 中国大陆, 汉语普通话,2018
56,花样青春：WINNER篇,罗英石,"姜昇润,宋旻浩,李昇勋,金秦禹,罗英石",9.1,https://movie.douban.com/subject/27168792/, 韩国, 韩语,2017
57,晓说2018,,"高晓松,徐克,吴宇森,冯小刚,樊建川",8.6,https://movie.douban.com/subject/30129066/, 中国大陆, 汉语普通话 / 英语 / 粤语,2018
58,歌手2018,"洪涛,洪啸","汪峰,张韶涵,洁茜J ,李圣杰,周延",6.6,https://movie.douban.com/subject/27180851/, 中国大陆, 汉语普通话,2018
59,街头美食斗士,朴熙妍,白钟元,9.3,https://movie.douban.com/subject/30207995/, 韩国, 韩语,2018
60,了不起的挑战,陈涤,"撒贝宁,华少,乐嘉,阮经天,沙溢",8.8,https://movie.douban.com/subject/26347994/, 中国大陆 / 韩国, 汉语普通话,2015
61,粉雄救兵 第一季,,"鲍比·伯克,卡拉莫·布朗,谭·法郎士,安东尼·波罗夫斯基,乔纳森·凡·奈斯",9.2,https://movie.douban.com/subject/26964443/, 美国, 英语,2018
62,花儿与少年 第二季,"廖珂,吴梦知,陈歆宇","井柏然,杨洋,毛阿敏,许晴,宁静",7.0,https://movie.douban.com/subject/26261188/, 中国大陆, 汉语普通话 / 英语,2015
63,我是歌手 第一季,洪涛,"陈羽凡,胡海泉,尚雯婕,黄贯中,沙宝亮",7.9,https://movie.douban.com/subject/21966374/, 中国大陆, 汉语普通话,2013
64,奔跑吧兄弟 第二季,岑俊义,"邓超,杨颖,郑恺,李晨,王祖蓝",6.3,https://movie.douban.com/subject/26279203/, 中国大陆, 汉语普通话,2015
65,奇葩说 第三季,"牟頔,梁怡,马东","蔡康永,马东,高晓松,王嫣芸,马薇薇",8.6,https://movie.douban.com/subject/26581134/, 中国大陆, 汉语普通话,2016
66,吐槽大会 第三季,孙忠怀,"张绍刚,李诞,池子,程璐,王建国",6.2,https://movie.douban.com/subject/30362309/, 中国大陆, 汉语普通话,2018
67,一本好书,关正文,"赵立新,黄维德,何雨桐,赵晏博,陈晓楠",9.2,https://movie.douban.com/subject/30337114/, 中国大陆, 汉语普通话,2018
68,这！就是灌篮,朱玲,"周杰伦,李易峰,林书豪,郭艾伦,易建联",8.0,https://movie.douban.com/subject/30201077/, 中国大陆, 汉语普通话,2018
69,花样青春：非洲篇,罗英石,"柳俊烈,安在洪,高庚杓,朴宝剑",9.4,https://movie.douban.com/subject/26715586/, 韩国, 韩语,2016
70,PRODUCE 101 第二季,安俊英,"宝儿,李硕薰,申宥美,朴嘉熙,权宰胜",8.6,https://movie.douban.com/subject/27000583/, 韩国, 韩语,2017
71,粉雄救兵 第二季,,"安东尼·波罗夫斯基,鲍比·伯克,卡拉莫·布朗,乔纳森·凡·奈斯,谭·法郎士",9.4,https://movie.douban.com/subject/30180156/, 美国, 英语,2018
72,非正式会谈 第3.5季,"万龙华,马骁,陶瑶,赵琛,宋晓莉,古雪颖","大左,杨迪,陈铭,贝乐泰,功必扬",8.5,https://movie.douban.com/subject/27602135/, 中国大陆, 汉语普通话,2017
73,我家那小子 第一季,陈歆宇,"陈学冬,钱枫,武艺,朱雨辰,徐海乔",6.7,https://movie.douban.com/subject/30259902/, 中国大陆, 汉语普通话,2018
74,拜托了冰箱 第四季,胡悦,"何炅,王嘉尔,黄磊,张杰,马天宇",6.9,https://movie.douban.com/subject/30204135/, 中国大陆, 汉语普通话,2018
75,花样青春：WINNER篇,罗英石,"姜昇润,宋旻浩,李昇勋,金秦禹,罗英石",9.1,https://movie.douban.com/subject/27168792/, 韩国, 韩语,2017
