index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
384,寿司之神,大卫·贾柏,"小野二郎 ,小野祯一",8.7,https://movie.douban.com/subject/6146955/, 美国,,2011
385,日本之耻,埃里卡·詹金,"伊藤诗织,安倍晋三",9.1,https://movie.douban.com/subject/30263943/, 英国,,2018
386,重返·狼群,亦风,李微漪,8.3,https://movie.douban.com/subject/26920269/, 中国大陆,,2017
387,人间世 第一季,周全,,9.6,https://movie.douban.com/subject/26815163/, 中国大陆, 汉语普通话,2016
388,航拍中国 第二季,"郭滢,樊志远,桂平,田荣,李德刚,詹先玲,王雅丽,韩金娜,何伟,杨光伟",李龙滨,8.3,https://movie.douban.com/subject/26995507/, 中国大陆, 汉语普通话,2019
389,燃点,"关琇,萧屺楠","罗永浩,戴威,张颖,Papi酱,傅盛",6.3,https://movie.douban.com/subject/27663881/, 中国大陆,,2019
390,三十二,郭柯,"韦绍兰,罗善学",9.4,https://movie.douban.com/subject/26236632/, 中国大陆,,2014
391,河西走廊,赵启辰,"刘川,艾力库",9.6,https://movie.douban.com/subject/24736278/, 中国大陆, 汉语普通话,2015
392,生门,陈为军,"李家福,夏锦菊,陈小凤,曾宪春",8.8,https://movie.douban.com/subject/26836588/, 中国大陆,,2016
393,浮生一日,"凯文·麦克唐纳,Natalia Andreadis,雷德利·斯科特","Cindy Baer,海伦·乔治",8.8,https://movie.douban.com/subject/5387041/, 美国,,2011
394,坂本龙一：终曲,史蒂芬·野村·斯奇博,坂本龙一,8.9,https://movie.douban.com/subject/26984189/, 日本,,2017
395,舌尖上的中国 第二季,"陈晓卿,邓洁,费牖明,刘硕,陈硕,陈磊",李立宏,8.5,https://movie.douban.com/subject/20502514/, 中国大陆, 汉语普通话 / 藏语 / 英语,2014
396,囚,马莉,,9.2,https://movie.douban.com/subject/26961159/, 中国大陆,,2017
397,爱猫之城,杰达·托伦,"布朗特·乌斯塔曼,本古,德尼兹,杜曼,无忧",8.4,https://movie.douban.com/subject/26806099/, 土耳其 / 美国,,2016
398,冰血长津湖,"颜品,付勇,刘治寰",,9.2,https://movie.douban.com/subject/6129689/, 中国大陆,,2011
399,舌尖上的新年,"陈磊,邓洁,李勇",李立宏,8.4,https://movie.douban.com/subject/25894885/, 中国大陆,,2016
400,那天，大海,金智永,郑雨盛,9.3,https://movie.douban.com/subject/30163799/, 韩国,,2018
