movie_num#movie_name#movie_year#movie_country#movie_type#movie_director#movie_assess#movie_score#movie_url#movie_intro
1#肖申克的救赎#1994#美国#犯罪 剧情# 弗兰克·德拉邦特 Frank Darabont#1431684#9.6#https://movie.douban.com/subject/1292052/#希望让人自由。
2#霸王别姬#1993#中国大陆 香港#剧情 爱情 同性# 陈凯歌 Kaige Chen#1060505#9.6#https://movie.douban.com/subject/1291546/#风华绝代。
3#这个杀手不太冷#1994#法国#剧情 动作 犯罪# 吕克·贝松 Luc Besson#1305654#9.4#https://movie.douban.com/subject/1295644/#怪蜀黍和小萝莉不得不说的故事。
4#阿甘正传#1994#美国#剧情 爱情# 罗伯特·泽米吉斯 Robert Zemeckis#1127481#9.4#https://movie.douban.com/subject/1292720/#一部美国近现代史。
5#美丽人生#1997#意大利#剧情 喜剧 爱情 战争# 罗伯托·贝尼尼 Roberto Benigni#660411#9.5#https://movie.douban.com/subject/1292063/#最美的谎言。
6#泰坦尼克号#1997#美国#剧情 爱情 灾难# 詹姆斯·卡梅隆 James Cameron#1068368#9.3#https://movie.douban.com/subject/1292722/#失去的才是永恒的。 
7#千与千寻#2001#日本#剧情 动画 奇幻# 宫崎骏 Hayao Miyazaki#1053627#9.3#https://movie.douban.com/subject/1291561/#最好的宫崎骏，最好的久石让。 
8#辛德勒的名单#1993#美国#剧情 历史 战争# 史蒂文·斯皮尔伯格 Steven Spielberg#588248#9.5#https://movie.douban.com/subject/1295124/#拯救一个人，就是拯救整个世界。
9#盗梦空间#2010#美国 英国#剧情 科幻 悬疑 冒险# 克里斯托弗·诺兰 Christopher Nolan#1129507#9.3#https://movie.douban.com/subject/3541415/#诺兰给了我们一场无法盗取的梦。
10#忠犬八公的故事#2009#美国 英国#剧情# 莱塞·霍尔斯道姆 Lasse Hallström#747528#9.3#https://movie.douban.com/subject/3011091/#永远都不能忘记你所爱的人。
11#机器人总动员#2008#美国#爱情 科幻 动画 冒险# 安德鲁·斯坦顿 Andrew Stanton#748186#9.3#https://movie.douban.com/subject/2131459/#小瓦力，大人生。
12#三傻大闹宝莱坞#2009#印度#剧情 喜剧 爱情 歌舞# 拉库马·希拉尼 Rajkumar Hirani#1016198#9.2#https://movie.douban.com/subject/3793023/#英俊版憨豆，高情商版谢耳朵。
13#海上钢琴师#1998#意大利#剧情 音乐# 朱塞佩·托纳多雷 Giuseppe Tornatore#832162#9.2#https://movie.douban.com/subject/1292001/#每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14#放牛班的春天#2004#法国 瑞士 德国#剧情 音乐# 克里斯托夫·巴拉蒂 Christophe Barratier#704675#9.3#https://movie.douban.com/subject/1291549/#天籁一般的童声，是最接近上帝的存在。 
15#楚门的世界#1998#美国#剧情 科幻# 彼得·威尔 Peter Weir#779996#9.2#https://movie.douban.com/subject/1292064/#如果再也不能见到你，祝你早安，午安，晚安。
16#大话西游之大圣娶亲#1995#香港 中国大陆#喜剧 爱情 奇幻 古装# 刘镇伟 Jeffrey Lau#787082#9.2#https://movie.douban.com/subject/1292213/#一生所爱。
17#星际穿越#2014#美国 英国 加拿大 冰岛#剧情 科幻 冒险# 克里斯托弗·诺兰 Christopher Nolan#808062#9.2#https://movie.douban.com/subject/1889243/#爱是一种力量，让我们超越时空感知它的存在。
18#龙猫#1988#日本#动画 奇幻 冒险# 宫崎骏 Hayao Miyazaki#696101#9.2#https://movie.douban.com/subject/1291560/#人人心中都有个龙猫，童年就永远不会消失。
19#教父#1972#美国#剧情 犯罪# 弗朗西斯·福特·科波拉 Francis Ford Coppola#510009#9.3#https://movie.douban.com/subject/1291841/#千万不要记恨你的对手，这样会让你失去理智。
20#熔炉#2011#韩国#剧情# 黄东赫 Dong-hyuk Hwang#457728#9.3#https://movie.douban.com/subject/5912992/#我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21#无间道#2002#香港#剧情 犯罪 悬疑# 刘伟强 / 麦兆辉#646744#9.2#https://movie.douban.com/subject/1307914/#香港电影史上永不过时的杰作。
22#疯狂动物城#2016#美国#喜剧 动画 冒险# 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore#891338#9.2#https://movie.douban.com/subject/25662329/#迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
23#当幸福来敲门#2006#美国#剧情 传记 家庭# 加布里尔·穆奇诺 Gabriele Muccino#823271#9.0#https://movie.douban.com/subject/1849031/#平民励志片。 
24#怦然心动#2010#美国#剧情 喜剧 爱情# 罗伯·莱纳 Rob Reiner#911062#9.0#https://movie.douban.com/subject/3319755/#真正的幸福是来自内心深处。
25#触不可及#2011#法国#剧情 喜剧# 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano#543575#9.2#https://movie.douban.com/subject/6786002/#满满温情的高雅喜剧。
