index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
112,强风吹拂,野村和也,"大冢刚央,丰永利行,榎木淳弥,上村祐翔,内山昂辉",9.6,https://movie.douban.com/subject/30238385/, 日本, 日语,2018
113,一人之下 第一季,"李豪凌,王昕","田丸笃志,饭田友子,早见沙织,野岛健儿,立花慎之介",8.7,https://movie.douban.com/subject/26815153/, 中国大陆 / 日本, 日语 / 汉语普通话,2016
114,我的英雄学院 第2季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.2,https://movie.douban.com/subject/26827706/, 日本, 日语,2017
115,卡罗尔与星期二,"渡边信一郎,堀元宣","岛袋美由利,市之濑加那,大塚明夫,入野自由,上坂堇",9.4,https://movie.douban.com/subject/30163813/, 日本, 日语,2019
116,齐木楠雄的灾难,樱井弘明,"神谷浩史,小野大辅,岛崎信长,岩田光央,爱河里花子",9.3,https://movie.douban.com/subject/26801048/, 日本, 日语,2016
117,在下坂本，有何贵干？,高松信司,"绿川光,石田彰,杉田智和,武内健,堀江由衣",8.2,https://movie.douban.com/subject/26708698/, 日本, 日语,2016
118,轻松小熊和小薰,小林雅仁,"多部未华子,松本惣己,山田孝之,金泽舞",9.2,https://movie.douban.com/subject/27176022/, 日本, 日语,2019
119,一人之下 第二季,王昕,"曹云图,小连杀,彭尧,宝木中阳,阿杰",9.2,https://movie.douban.com/subject/27034748/, 中国大陆, 汉语普通话,2017
120,野良神,田村耕太郎,"神谷浩史,内田真礼,梶裕贵,石川界人,钉宫理惠",8.4,https://movie.douban.com/subject/24752306/, 日本, 日语,2014
121,斗破苍穹特别篇2,赵丙乐,"谢添天,冯骏骅,袁国庆,王宇航,刘北辰",8.6,https://movie.douban.com/subject/30222889/, 中国大陆, 汉语普通话,2019
122,灵能百分百,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,细谷佳正",9.3,https://movie.douban.com/subject/26677934/, 日本, 日语,2016
